group,teams,lat_1,long_2,flag
Group A,Mexico,23.634.501,-102.552.784,"<img src=""https://flagcdn.com/w320/mx.png"" width=""320"">"
Group A,South Africa,-30.559.482,22.937.506,"<img src=""https://flagcdn.com/w320/za.png"" width=""320"">"
Group A,South Korea,35.907.757,127.766.922,"<img src=""https://flagcdn.com/w320/kr.png"" width=""320"">"
Group A,Czechia,4.981.749.199.999.990,15.472.962,"<img src=""https://flagcdn.com/w320/cz.png"" width=""320"">"
Group B,Canada,56.130.366,-106.346.771,"<img src=""https://flagcdn.com/w320/ca.png"" width=""320"">"
Group B,Bosnia and Herzegovina,43.915.886,17.679.076,"<img src=""https://flagcdn.com/w320/ba.png"" width=""320"">"
Group B,Switzerland,46.818.188,8.227.511.999.999.990,"<img src=""https://flagcdn.com/w320/ch.png"" width=""320"">"
Group B,Qatar,25.354.826,51.183.884,"<img src=""https://flagcdn.com/w320/qa.png"" width=""320"">"
Group C,Brazil,-14.235.004,-5.192.528,"<img src=""https://flagcdn.com/w320/br.png"" width=""320"">"
Group C,Morocco,31.791.702,-7.092.619.999.999.990,"<img src=""https://flagcdn.com/w320/ma.png"" width=""320"">"
Group C,Scotland,577.470.127.655.324,-4.687.305.781.018.130,"<img src=""https://flagcdn.com/w320/gb-sct.png"" width=""320"">"
Group C,Haiti,18.971.187,-72.285.215,"<img src=""https://flagcdn.com/w320/ht.png"" width=""320"">"
Group D,USA,387.945.952,-1.065.348.379,"<img src=""https://flagcdn.com/w320/us.png"" width=""320"">"
Group D,Paraguay,-23.442.503,-58.443.832,"<img src=""https://flagcdn.com/w320/py.png"" width=""320"">"
Group D,Australia,-25.274.398,133.775.136,"<img src=""https://flagcdn.com/w320/au.png"" width=""320"">"
Group D,Türkiye,38.963.745,35.243.322,"<img src=""https://flagcdn.com/w320/tr.png"" width=""320"">"
Group E,Germany,51.165.691,10.451.526,"<img src=""https://flagcdn.com/w320/de.png"" width=""320"">"
Group E,Ecuador,-1.831.239,-7.818.340.599.999.990,"<img src=""https://flagcdn.com/w320/ec.png"" width=""320"">"
Group E,Ivory Coast,7.539.988.999.999.990,-5.547.079.999.999.990,"<img src=""https://flagcdn.com/w320/ci.png"" width=""320"">"
Group E,Curaçao,1.216.957,-6.899.002,"<img src=""https://flagcdn.com/w320/cw.png"" width=""320"">"
Group F,Netherlands,52.132.633,5.291.265.999.999.990,"<img src=""https://flagcdn.com/w320/nl.png"" width=""320"">"
Group F,Japan,36.204.824,138.252.924,"<img src=""https://flagcdn.com/w320/jp.png"" width=""320"">"
Group F,Tunisia,33.886.917,9.537.499,"<img src=""https://flagcdn.com/w320/tn.png"" width=""320"">"
Group F,Sweden,6.012.816.100.000.000,18.643.501,"<img src=""https://flagcdn.com/w320/se.png"" width=""320"">"
Group G,Belgium,50.503.887,4.469.936,"<img src=""https://flagcdn.com/w320/be.png"" width=""320"">"
Group G,Iran,32.427.908,53.688.046,"<img src=""https://flagcdn.com/w320/ir.png"" width=""320"">"
Group G,Egypt,26.820.553,30.802.498,"<img src=""https://flagcdn.com/w320/eg.png"" width=""320"">"
Group G,New Zealand,-40.900.557,174.885.971,"<img src=""https://flagcdn.com/w320/nz.png"" width=""320"">"
Group H,Spain,4.046.366.700.000.000,-374.922,"<img src=""https://flagcdn.com/w320/es.png"" width=""320"">"
Group H,Cabo Verde,165.388,-230.418,"<img src=""https://flagcdn.com/w320/cv.png"" width=""320"">"
Group H,Saudi Arabia,23.885.942,45.079.162,"<img src=""https://flagcdn.com/w320/sa.png"" width=""320"">"
Group H,Uruguay,-32.522.779,-55.765.835,"<img src=""https://flagcdn.com/w320/uy.png"" width=""320"">"
Group I,France,46.227.638,2.213.749,"<img src=""https://flagcdn.com/w320/fr.png"" width=""320"">"
Group I,Senegal,14.497.401,-14.452.362,"<img src=""https://flagcdn.com/w320/sn.png"" width=""320"">"
Group I,Iraq,33.223.191,43.679.291,"<img src=""https://flagcdn.com/w320/iq.png"" width=""320"">"
Group I,Norway,6.047.202.399.999.990,8.468.945.999.999.990,"<img src=""https://flagcdn.com/w320/no.png"" width=""320"">"
Group J,Argentina,-38.416.097,-6.361.667.199.999.990,"<img src=""https://flagcdn.com/w320/ar.png"" width=""320"">"
Group J,Algeria,28.033.886,1.659.626,"<img src=""https://flagcdn.com/w320/dz.png"" width=""320"">"
Group J,Austria,47.516.231,14.550.072,"<img src=""https://flagcdn.com/w320/at.png"" width=""320"">"
Group J,Jordan,30.585.164,36.238.414,"<img src=""https://flagcdn.com/w320/jo.png"" width=""320"">"
Group K,Portugal,3.939.987.199.999.990,-8.224.454,"<img src=""https://flagcdn.com/w320/pt.png"" width=""320"">"
Group K,Colombia,4.570.868,-74.297.333,"<img src=""https://flagcdn.com/w320/co.png"" width=""320"">"
Group K,Uzbekistan,41.377.491,64.585.262,"<img src=""https://flagcdn.com/w320/uz.png"" width=""320"">"
Group K,DR Congo,-4.038.333,21.758.664,"<img src=""https://flagcdn.com/w320/cd.png"" width=""320"">"
Group L,England,5.283.816.401.015.790,-2.327.480.843.616.560,"<img src=""https://flagcdn.com/w320/gb-eng.png"" width=""320"">"
Group L,Croatia,45.1,15.2,"<img src=""https://flagcdn.com/w320/hr.png"" width=""320"">"
Group L,Panama,8.537.981,-80.782.127,"<img src=""https://flagcdn.com/w320/pa.png"" width=""320"">"
Group L,Ghana,7.946.527,-1.023.194,"<img src=""https://flagcdn.com/w320/gh.png"" width=""320"">"